episode,score,max_reward,max_tile
827,1216,22.575063753128052,128
828,432,20.704002141952515,32
829,708,19.42184236049652,64
830,1028,22.19148955345154,128
831,432,19.43659677505493,64
832,812,23.99038529396057,64
833,1132,21.557377696037292,128
834,712,22.659257698059083,64
835,1108,24.09734115600586,128
836,1420,21.176546621322633,128
837,884,19.52943887710571,64
838,2092,24.035496473312378,256
839,1324,20.868480181694032,128
840,608,21.07916078567505,64
841,504,20.484557342529296,64
842,524,21.4626247882843,64
843,1392,20.63995325565338,128
844,636,20.736773872375487,64
845,780,20.81433653831482,64
846,2332,21.71379175186157,256
847,824,20.217510604858397,128
848,316,21.816351461410523,32
849,1236,21.839578771591185,128
850,748,20.086771059036256,64
851,908,20.43921308517456,128
852,2660,22.1441974401474,256
853,652,20.092371273040772,64
854,472,20.444815111160278,64
855,2160,23.684978580474855,256
856,1108,23.27018599510193,128
857,596,21.309835720062257,64
858,508,22.171049118041992,64
859,224,19.19069685935974,32
860,216,18.185129261016847,32
861,176,20.222652244567872,32
862,292,19.71883134841919,32
863,516,21.120271110534667,64
864,1808,19.377447271347044,128
865,300,17.92528328895569,32
866,568,20.218378400802614,64
867,1176,22.832036924362182,128
868,332,17.16664652824402,32
869,472,20.004798555374144,64
870,504,19.606050729751587,64
871,680,21.544514751434328,64
872,360,17.870395374298095,32
873,1284,19.862363576889038,128
874,2752,22.762806272506715,256
875,1492,23.21592218875885,128
876,512,22.783235454559325,64
877,600,22.172150754928587,64
878,772,23.81361594200134,64
879,1068,24.454122591018677,128
880,636,19.487703037261962,64
881,1196,22.852158117294312,128
882,884,21.606881856918335,64
883,480,21.83352780342102,64
884,588,20.687233018875123,64
885,452,20.23627028465271,64
886,540,20.410107612609863,64
887,440,22.83308138847351,64
888,1008,22.44558687210083,128
889,1220,20.480265808105468,128
890,604,22.240610980987547,64
891,600,19.58397443294525,64
892,1080,21.62363862991333,128
893,908,20.438388633728028,128
894,620,21.56889705657959,64
895,1152,22.82299213409424,128
896,1412,23.16437397003174,128
897,1232,23.611499547958374,128
898,1120,21.061499857902525,128
899,1572,22.63642821311951,128
900,592,20.17518515586853,64
901,320,20.162214231491088,32
902,620,21.495328760147096,64
903,588,24.031034994125367,64
904,1204,22.0630090713501,128
905,652,22.57663550376892,64
